City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Riyadh,SA,11/11/2019 2:40,24.63,46.72,71.6,53,75,3.36
1,Faanui,PF,11/11/2019 2:42,-16.48,-151.75,80.2,73,100,7.7
2,Tiksi,RU,11/11/2019 2:30,71.64,128.87,6.69,97,100,2.04
3,Northam,AU,11/11/2019 2:42,-31.65,116.67,73.4,43,0,12.75
4,Frederikssund,DK,11/11/2019 2:42,55.84,12.06,44.01,93,100,9.17
5,Tuktoyaktuk,CA,11/11/2019 2:42,69.44,-133.03,14,72,5,19.46
6,Albany,US,11/11/2019 2:32,42.65,-73.75,44.6,52,90,3.36
7,Ahipara,NZ,11/11/2019 2:42,-35.17,173.16,60.01,100,100,21.5
8,Tasiilaq,GL,11/11/2019 2:42,65.61,-37.64,37.4,90,100,54.13
9,Half Moon Bay,US,11/11/2019 2:42,37.46,-122.43,64,76,1,10.29
10,Rikitea,PF,11/11/2019 2:35,-23.12,-134.97,74.3,83,86,14.29
11,Marrakesh,MA,11/11/2019 2:42,31.63,-7.99,51.8,71,3,6.93
12,Canavieiras,BR,11/11/2019 2:42,-15.68,-38.95,74.34,92,1,5.88
13,Sangar,RU,11/11/2019 2:42,63.92,127.47,7.01,94,100,12.44
14,Bluff,AU,11/11/2019 2:42,-23.58,149.07,89.31,11,0,4.38
15,San Cristobal,HN,11/11/2019 2:42,14.68,-86.92,66,97,100,1.77
16,Flinders,AU,11/11/2019 2:42,-34.58,150.85,84.99,69,33,20
17,Avarua,CK,11/11/2019 2:35,-21.21,-159.78,75.2,78,26,11.41
18,Hermanus,ZA,11/11/2019 2:35,-34.42,19.24,64.99,88,87,7
19,Lebu,ET,11/11/2019 2:35,8.96,38.73,49.82,77,67,2.39
20,Atuona,PF,11/11/2019 2:35,-9.8,-139.03,80.33,69,33,10.71
21,Lisala,CD,11/11/2019 2:42,2.15,21.52,70.79,99,100,1.23
22,Paamiut,GL,11/11/2019 2:37,61.99,-49.67,37.89,85,100,8.25
23,Ancud,CL,11/11/2019 2:42,-41.87,-73.83,51.8,87,88,5.82
24,Yarada,IN,11/11/2019 2:42,17.65,83.27,75.2,94,0,2.24
25,Hope,US,11/11/2019 2:42,33.67,-93.59,60.8,59,1,11.41
26,Cape Town,ZA,11/11/2019 2:40,-33.93,18.42,64.99,88,75,11.41
27,Bredasdorp,ZA,11/11/2019 2:35,-34.53,20.04,64.99,82,97,14.99
28,Jumla,NP,11/11/2019 2:42,29.28,82.18,50.97,30,37,1.36
29,New Norfolk,AU,11/11/2019 2:42,-42.78,147.06,78.01,17,100,23.04
30,Vaini,IN,11/11/2019 2:35,15.34,74.49,72.16,78,0,7.05
31,Kieta,PG,11/11/2019 2:42,-6.22,155.63,83.52,69,62,6.42
32,Codrington,AU,11/11/2019 2:42,-28.95,153.24,82,34,9,4.7
33,Provideniya,RU,11/11/2019 2:35,64.42,-173.23,35.6,98,90,13.42
34,Sitka,US,11/11/2019 2:42,37.17,-99.65,51.01,57,100,4
35,Ushuaia,AR,11/11/2019 2:42,-54.81,-68.31,53.6,54,20,11.41
36,Saint-Denis,FR,11/11/2019 2:42,48.94,2.36,41,93,90,6.93
37,Tanout,NE,11/11/2019 2:42,14.97,8.88,80.11,16,92,4.74
38,Hobart,AU,11/11/2019 2:30,-42.88,147.33,77,23,100,7
39,Namatanai,PG,11/11/2019 2:42,-3.66,152.44,84.61,69,31,5.17
40,Puerto Ayora,EC,11/11/2019 2:35,-0.74,-90.35,70,88,3,3
41,Iqaluit,CA,11/11/2019 2:42,63.75,-68.52,6.01,77,75,6.93
42,Kruisfontein,ZA,11/11/2019 2:42,-34,24.73,62.4,89,85,15.14
43,Balkanabat,TM,11/11/2019 2:42,39.51,54.36,52.47,25,0,21.03
44,Soe,EE,11/11/2019 2:42,57.91,26.05,43,93,90,5.82
45,Talnakh,RU,11/11/2019 2:42,69.49,88.39,7.61,83,75,6.71
46,Grand Gaube,MU,11/11/2019 2:42,-20.01,57.66,73,94,75,3.36
47,Port Alfred,ZA,11/11/2019 2:42,-33.59,26.89,62.01,96,100,4
48,Sinnamary,GF,11/11/2019 2:42,5.38,-52.96,81.36,84,34,13.6
49,Luderitz,NA,11/11/2019 2:42,-26.65,15.16,59,87,0,2.24
50,Shenjiamen,CN,11/11/2019 2:42,29.96,122.3,64.76,51,0,13.22
51,Mar Del Plata,AR,11/11/2019 2:41,-46.43,-67.52,51.06,83,35,9.82
52,Deputatskiy,RU,11/11/2019 2:42,69.3,139.9,2.48,100,100,1.63
53,Ramhormoz,IR,11/11/2019 2:42,31.28,49.6,59,33,0,4.7
54,Natal,BR,11/11/2019 2:40,-5.81,-35.21,78.8,78,75,6.93
55,Hilo,US,11/11/2019 2:35,19.71,-155.08,84.2,62,20,5.82
56,Punta Arenas,CL,11/11/2019 2:35,-53.16,-70.91,48.2,70,75,10.29
57,Kapaa,US,11/11/2019 2:35,22.08,-159.32,82.4,94,90,9.17
58,Nara,JP,11/11/2019 2:42,34.68,135.8,68,77,75,5.82
59,Castro,CL,11/11/2019 2:42,-42.48,-73.76,51.8,87,78,5.82
60,Port Elizabeth,US,11/11/2019 2:42,39.31,-74.98,48.2,75,1,3.36
61,Kaseda,JP,11/11/2019 2:42,31.42,130.32,71.6,46,40,24.16
62,Pacific Grove,US,11/11/2019 2:38,36.62,-121.92,61,87,75,10.29
63,Zarubino,RU,11/11/2019 2:42,42.65,131.06,51.24,66,100,25.37
64,El Sauzal,AR,11/11/2019 2:42,-24.3,-64.96,73.4,73,75,0.85
65,Wajima,JP,11/11/2019 2:42,37.4,136.9,55.4,66,75,1.12
66,Fort Frances,CA,11/11/2019 2:41,48.61,-93.4,7,84,75,3.36
67,Severo-Kurilsk,RU,11/11/2019 2:42,50.68,156.12,30.07,75,70,22.48
